City,Food_type,OrderCount
Hyderabad,"Fast Food,Salads,Snacks,Desserts,Beverages",1
Hyderabad,"Sweets  Desserts  Bakery  Beverages",1
Hyderabad,"Indian,Chinese,North Indian,Punjabi,Tandoor,Kebabs,Biryani,Seafood,Oriental,Desserts,Sweets,Beverages,Combo",1
Hyderabad,"North Indian,Chinese,Biryani,Continental,Mughlai",1
Hyderabad,"Beverages,Snacks,Desserts",1
Hyderabad,"Beverages  Snacks  Desserts",1
Hyderabad,"Indian,Chinese,Biryani,Snacks,Desserts",1
Hyderabad,"Desserts,Bakery,Beverages,Fast Food,Combo",1
Hyderabad,"Japanese,Asian,Thai",1
Hyderabad,"Italian,Beverages,Fast Food",1
Hyderabad,"Biryani,Chinese,North Indian,Kebabs",1
Hyderabad,"Arabian  Biryani  Mughlai",1
Hyderabad,"Italian,Desserts,American",1
Hyderabad,"Pan-Asian,Chinese",1
Hyderabad,"Bakery,Pizzas,Snacks,Desserts",1
Hyderabad,"Chinese,Biryani,Mughlai,North Indian,Haleem",1
Hyderabad,"European,Italian,Continental,Desserts",1
Hyderabad,"Fast Food  Pizzas  Beverages  Desserts",1
Hyderabad,"American,Pizzas,Continental",1
Hyderabad,"Arabian,Indian,Chinese",1
Hyderabad,"American  Fast Food",1
Hyderabad,"North Indian,Chinese,Continental,Seafood",1
Hyderabad,"North Indian,Chinese,South Indian,Biryani",1
Hyderabad,"Continental  Lebanese",1
Hyderabad,"Hyderabadi,Mughlai,Biryani",1
Hyderabad,"Biryani  North Indian  Chinese  Mughlai  Tandoor",1
Hyderabad,"Fast Food,Chinese,Mughlai",1
Hyderabad,"Arabian  Street Food",1
Hyderabad,"Biryani,Arabian,Fast Food",1
Hyderabad,"Continental,American,Italian",1
Hyderabad,"Chinese,Mughlai,Tandoor,Biryani",1
Hyderabad,"North Indian,Chinese,Biryani,South Indian",1
Hyderabad,"Hyderabadi,Biryani,North Indian",1
Hyderabad,"North Indian,Chinese,Biryani,Hyderabadi",1
Hyderabad,"Arabian,Tandoor,Mughlai,Biryani,North Indian",1
Hyderabad,"Afghani,Arabian,Indian,Tandoor",1
Hyderabad,"Cafe  Desserts  Beverages",1
Hyderabad,"Chinese,Indian,Mughlai",1
Hyderabad,"Chinese,Italian,Desserts,Bakery,Fast Food",1
Hyderabad,"Andhra,South Indian,Biryani",1
Hyderabad,"Biryani,North Indian,Tandoor,Hyderabadi,Kebabs,Chinese",1
Hyderabad,"Biryani,North Indian,Tandoor",1
Hyderabad,"Mediterranean,Lebanese,Mughlai,North Indian,Chinese,Salads",1
Hyderabad,"Fast Food  Middle Eastern  Cafe",1
Hyderabad,"Healthy Food,North Indian,Beverages",1
Hyderabad,"Bakery,Pizzas,Fast Food,Chinese,Italian,American,Sweets,Desserts,Beverages",1
Hyderabad,"Bakery,Combo,Beverages,Maharashtrian,Snacks,Street Food,South Indian,Punjabi,Fast Food",1
Hyderabad,"Ice Cream  Beverages  Fast Food",1
Hyderabad,"Italian,Indian,Continental",1
Hyderabad,"Arabian,Lebanese,Mediterranean,Biryani",1
Hyderabad,"Asian,Chinese",1
Hyderabad,"Fast Food,Bakery",1
Hyderabad,"Fast Food,Italian,Beverages",1
Hyderabad,"North Indian  Chinese  Biryani",1
Hyderabad,"Chinese,South Indian,North Indian",1
Hyderabad,"Biryani,Hyderabadi",1
Hyderabad,"Bengali,North Indian,Chinese,Home Food,Thalis,Beverages",1
Hyderabad,"Hyderabadi,Mughlai,Biryani,Indian,Chinese",1
Hyderabad,"Cafe,Chinese,Continental",1
Hyderabad,"Street Food,Arabian",1
Hyderabad,"Biryani,Tandoor,Chinese,Indian",1
Hyderabad,"Home Food,South Indian,North Indian,Thalis",1
Hyderabad,"Chinese,South Indian,Fast Food,Hyderabadi",1
Hyderabad,"Desserts,Fast Food,Beverages,Hyderabadi",1
Hyderabad,"Chinese,Indian,Beverages,Snacks",1
Hyderabad,"South Indian,Hyderabadi,Chinese,North Indian,Andhra",1
Hyderabad,"Juices,Fast Food",1
Hyderabad,"Sweets,Desserts,Snacks,Chaat",1
Hyderabad,"Fast Food,American",1
Hyderabad,"Biryani  Chinese",1
Hyderabad,"Biryani,North Indian,Chinese,Kebabs",1
Hyderabad,"Chinese,Biryani,Kebabs,Haleem",1
Hyderabad,"Chinese,Biryani,Mughlai,North Indian",1
Hyderabad,Cafe,1
Hyderabad,"Desserts,Ice Cream,Beverages",1
Hyderabad,"North Indian,Chinese,Tandoor",1
Hyderabad,"North Indian,South Indian,Tandoor,Biryani",1
Hyderabad,Italian,1
Hyderabad,"Bakery,Fast Food",1
Hyderabad,"Juices,Beverages,Healthy Food",1
Hyderabad,"South Indian  North Indian  Mughlai",1
Hyderabad,"Lebanese,Arabian,Fast Food",1
Hyderabad,"Continental,Italian,North Indian,Chinese",1
Hyderabad,"North Indian  Chinese  Indian",1
Hyderabad,"Indian,Asian,Italian,European",1
Hyderabad,"Arabian,Mughlai,North Indian",1
Hyderabad,"Beverages  Ice Cream",1
Hyderabad,"Chinese,Indian,Thalis,North Indian,Pan-Asian,Oriental,Kebabs,Tandoor,Fast Food,Desserts,Asian,Combo,Grill,Hyderabadi,Lucknowi,Mughlai,Bowl Company, Keventers & more",1
Hyderabad,"Biryani  Indian  Hyderabadi  Fast Food  Haleem",1
Hyderabad,"Bakery  Pizzas  Haleem",1
Hyderabad,"Lebanese,Arabian",1
Hyderabad,"Biryani,North Indian,Chinese,Fast Food,Haleem",1
Hyderabad,"Biryani,Chinese,Tandoor,Mughlai,North Indian",1
Hyderabad,Seafood,1
Hyderabad,"Fast Food,Pizzas,Continental,Beverages,Desserts",1
Hyderabad,"Pizzas,Beverages,Desserts,Ice Cream,Italian,Pastas",1
Hyderabad,"Turkish,Arabian",1
Hyderabad,"Sweets,North Indian,Bakery",1
Hyderabad,Mexican,1
Hyderabad,"Sweets  South Indian  North Indian  Snacks",1
Hyderabad,"North Indian,Chinese,Tandoor,Biryani",1
Hyderabad,"Biryani,North Indian,South Indian,Tandoor,Chinese",1
Hyderabad,"Indian,Chinese,South Indian,Chaat",1
Hyderabad,"Desserts,Italian,Bakery,Snacks,Pizzas",1
Hyderabad,"Continental,Indian,Pan-Asian,Chinese,Beverages,Desserts",1
Hyderabad,"Chinese,Kebabs,North Indian,South Indian,Tandoor",1
Hyderabad,"Continental  North Indian  South Indian  Beverages",1
Hyderabad,"Andhra,South Indian",1
Hyderabad,"Arabian,Juices",1
Hyderabad,"Snacks  South Indian",1
Hyderabad,"Snacks,Fast Food,American",1
Hyderabad,"Biryani,South Indian",1
Hyderabad,"Salads,French,Beverages,Combo",1
Hyderabad,"Continental,Fast Food",1
Hyderabad,"Mexican  Beverages",1
Hyderabad,"Healthy Food  Keto  North Indian  Continental",1
Hyderabad,"Bakery  Fast Food  Snacks  Beverages",1
Hyderabad,"South Indian,Telangana,Home Food",1
Hyderabad,"Combo,Snacks,Beverages,Desserts",1
Hyderabad,"Biryani,Mughlai,Lucknowi,Hyderabadi,Kebabs,North Indian,Persian,Desserts",1
Hyderabad,"Italian,Mexican,Pastas",1
Hyderabad,"Ice Cream,Bakery,Desserts,Beverages",1
Hyderabad,"North Indian  Punjabi  Biryani  Combo  Chinese  Beverages  Desserts  Jain  Indian  Hyderabadi  Mughlai",1
Hyderabad,"North Indian,Punjabi,Combo,Biryani,Healthy Food,Jain,Thalis,Indian,Mughlai,Desserts",1
Hyderabad,"South Indian,Kebabs,Biryani",1
Hyderabad,"Biryani,North Indian,Chinese,South Indian",1
